"","state","name","ncesID","acfrs_original_name"
"48","CA","Jefferson Elementary School District","0618810","Jefferson Elementary School District"
"49","CA","La Honda Pescadero Unified School District","0620220","La Honda Pescadero Unified School District"
"50","CA","Lakeside Union School District (Kern County)","0620730","Lakeside Union School District"
"51","CA","Latrobe Elementary School District","0621180","Latrobe Elementary School District"
"52","CA","Linns Valley Poso Flat Union Elementary","0621900","linns val-poso flat union sch dist"
"53","CA","Modesto City Schools","0625130",NA
"54","CA","Mount Shasta Union Elementary School District","0626040","mt shasta union sch dist"
"55","CA","Mountain View School District","0626190","Mountain View School District"
"56","CA","Mt Baldy Joint Elementary","0626340","mt baldy elem sch dist"
"57","CA","New Castle Elementary","0627120","newcastle elem sch dist"
"58","CA","New Hope Elementary School District","0617490","Hope Elementary School District"
"59","CA","New Hope Elementary School District","0626970","new hope elementary school district"
"60","CA","North Cow Creek Elementary School District","0627510","north cow creek elem sch dist"
"61","CA","Ocean View School District","0628140","Ocean View School District"
"62","CA","Peninsula Union Elementary School District","0630090","Peninsula Union Elementary School District"
"63","CA","Placerville Union School District","0630780","Placerville Union School District"
"64","CA","Plumas Unified School District","0631170","Plumas Unified School District"
"65","CA","Porterville Unified School District","0600064","Porterville Unified School District"
"66","CA","Ravenswood City School District","0631860","ravenswood city elementary school district"
"67","CA","Raymond Knowles Union Elementary","0631920","raymond knowles union elem school dist"
"68","CA","Rio Bravo-Greeley Union School District","0632710","Rio Bravo-Greeley Union School District"
"69","CA","Round Valley Unified School District","0633690","Round Valley Unified School District"
"70","CA","San Carlos School District","0634290","san carlos elementary school district"
"71","CA","San Mateo Foster City Elementary School District","0634920","San Mateo Foster City Elementary School District"
"72","CA","Santa Clara Unified School District","0635490","Santa Clara Unified School District"
"73","CA","Sausalito Marin City Elementary School District","0636000","Sausalito Marin City Elementary School District"
"74","CA","Sequoia Union High School District","0636360","Sequoia Union High School District"
"75","CA","Sierra-Plumas Joint Unified School District","0636780","sierra plumas jt unified sch dist"
"76","CA","Siskiyou County office of Education","0636940","Siskiyou County Office Of Education"
"77","CA","Snelling-Merced Falls Union Elementary School District","0636960","snelling-merced falls union elem sch dist"
"78","CA","South Bay Union Elementary School District (Humboldt County)","0637350","South Bay Union Elementary School District (Humboldt County)"
"79","CA","South Fork Union Elementary School District","0637470","South Fork Union Elementary School District"
"80","CA","Spreckels Union Elementary School District","0637710","Spreckels Union Elementary School District"
"81","CA","Sulphur Springs Union Elementary School District","0638220","Sulphur Springs Union Elementary School District"
"82","CA","Tulare Joint Union High School District","0691045","Tulare Joint Union High School District"
"83","CA","Tuolumne County office of Education","0691046",NA
"84","CA","Twain Harte School District","0640200","twain harte school district"
"85","CA","Two Rock Union Elementary School District","0640260","Two Rock Union Elementary School District"
"86","CA","Vallecito Union School District","0640680","Vallecito Union School District"
"87","CA","Valley Center Pauma Unified School District","0600069","Valley Center Pauma Unified School District"
"88","CA","Vista Del Mar Union Elementary School District","0641220","Vista Del Mar Union Elementary School District"
"89","CA","Washington Unified School District","0601415","Washington Unified School District"
"90","CA","West Sonoma County Union High School District","0642270",NA
"91","CA","Westwood Unified School District","0642300","Westwood Unified School District"
"92","CA","Woodville Elementary School District","0643170","Woodville Elementary School District"
"93","CA","Yreka Union Elementary School District","0643410","Yreka Union Elementary School District"
"94","CO","Academy District Twenty","0801920","academy school dist 20"
"95","CO","Aspen School District Re","0802280",NA
"96","CO","Buena Vista School District R-31","0802640","buena vista sch dist r-31"
"97","CO","Center Consolidated School District 26 Jt","0802850",NA
"98","CO","Crowley County School District Number Re-1-J","0803210","Crowley County School District Number Re-1-J"
"99","CO","Douglas County School District Re.1","0803450","Douglas County School District Re.1"
"100","CO","Eagle County Schools District","0803540","Eagle County Schools District Re50J"
"101","CO","Fowler School District R4J","0804110","fowler sch dist r4j"
"102","CO","Fremont County School District Number Re-2","0803960","Fremont County School District Number Re-2"
"103","CO","Gunnison Watershed School District Re-1","0804470","Gunnison Watershed School District Re-1"
"104","CO","Holyoke School District Re-1J","0804710","Holyoke School District Re-1J"
"105","CO","Huerfano School District No. Re-1","0807080","huerfano school district no. re-1"
"106","CO","Julesburg School District Re-1","0804860","Julesburg School District Re-1"
"107","CO","Lake County School District R-1","0805190","Lake County School District R-1"
"108","CO","Las Animas County School District Number Re-1","0805250","Las Animas County School District Number Re-1"
"109","CO","Lewis-Palmer School District 38","0805820","Lewis-Palmer School District 38"
"110","CO","Mancos School District Re-6","0805460","Mancos School District Re-6"
"111","CO","Mapleton Public Schools Adams County School District No 1","0805550","Mapleton Public Schools Adams County School District No 1"
"112","CO","Mcclave School District Re-2","0805580","Mcclave School District Re-2"
"113","CO","Meeker School District Re-1","0805610",NA
"114","CO","Miami Yoder School District Jt60","0805670","miami yoder sch dist 60 jt"
"115","CO","Moffat Consolidated School District No. 2","0805700","Moffat Consolidated School District No. 2"
"116","CO","Montezuma County Cortez School District Re-1","0803090","Montezuma County Cortez School District Re-1"
"117","CO","Peyton School District No. 23","0806060","Peyton School District 23Jt"
"118","CO","Platte Valley School District Re-7","0804950","Platte Valley School District Re-7"
"119","CO","Salida School District Number R-32-J","0806330",NA
"120","CO","School District Fremont Re-1","0802790","School District Fremont Re-1"
"121","CO","Sierra Grande School District R-30","0804140","Sierra Grande School District R-30"
"122","CO","South Conejos School District Re-10","0802130","South Conejos School District Re-10"
"123","CO","St Vrain Valley School District Re-1J","0805370","St Vrain Valley School District Re-1J"
"124","CO","Steamboat Springs School District Re-2","0806660","Steamboat Springs School District Re-2"
"125","CO","Strasburg School District 31J","0806750","Strasburg School District 31J"
"126","CO","Weld County School District Re-1","0804200","weld county sch dist re-1"
"127","CO","Weld County School District Re-4","0807350",NA
"128","CO","Weld County School District Re-9","0802310","Weld County School District Re-9"
"129","CO","West Grand School District 1-Jt","0805070","West Grand School District 1-Jt"
"130","CO","Wiggins School District Re-50J","0807290","wiggins sch dist 50 jt"
"131","CO","Woodland Park School District Re-2","0807380","Woodland Park School District Re-2"
"132","CO","Yuma School District-1","0800016","yuma school district 1"
"133","CT","Andover School District","0900030","Andover School District"
"134","CT","Ansonia School District","0900060","Ansonia School District"
"135","CT","Ashford School District","0900090","Ashford School District"
"136","CT","Avon School District","0900120","Avon School District"
"137","CT","Barkhamsted School District","0900150","Barkhamsted School District"
"138","CT","Berlin School District","0900210","Berlin School District"
"139","CT","Bethany School District","0900240","Bethany School District"
"140","CT","Bethel School District","0900270","Bethel School District"
"141","CT","Bloomfield School District","0900330","Bloomfield School District"
"142","CT","Bolton School District","0900360","Bolton School District"
"143","CT","Bozrah School District","0900390","Bozrah School District"
"144","CT","Branford School District","0900420","Branford School District"
"145","CT","Bridgeport School District","0900450","Bridgeport School District"
"146","CT","Bristol School District","0900510","Bristol School District"
"147","CT","Brookfield School District","0900540","Brookfield School District"
"148","CT","Brooklyn School District","0900570","Brooklyn School District"
"149","CT","Canaan School District","0900630","Canaan School District"
"150","CT","Canterbury School District","0900660","Canterbury School District"
"151","CT","Canton School District","0900690","Canton School District"
"152","CT","Chaplin School District","0900720","Chaplin School District"
"153","CT","Cheshire School District","0900750","Cheshire School District"
"154","CT","Chester School District","0900780","Chester School District"
"155","CT","Clinton School District","0900810","Clinton School District"
"156","CT","Colchester School District","0900840","Colchester School District"
"157","CT","Colebrook School District","0900870","Colebrook School District"
"158","CT","Columbia School District","0900900","Columbia School District"
"159","CT","Cornwall School District","0900930","Cornwall School District"
"160","CT","Coventry School District","0900960","Coventry School District"
"161","CT","Cromwell School District","0900990","Cromwell School District"
"162","CT","Danbury School District","0901020","Danbury School District"
"163","CT","Darien School District","0901050","Darien School District"
"164","CT","Deep River School District","0901080","Deep River School District"
"165","CT","Derby School District","0901110","Derby School District"
"166","CT","East Granby School District","0901170","East Granby School District"
"167","CT","East Haddam School District","0901200","East Haddam School District"
"168","CT","East Hampton School District","0901230","East Hampton School District"
"169","CT","East Hartford School District","0901260","East Hartford School District"
"170","CT","East Haven School District","0901290","East Haven School District"
"171","CT","East Lyme School District","0901320","East Lyme School District"
"172","CT","East Windsor School District","0901350","East Windsor School District"
"173","CT","Eastford School District","0901380","Eastford School District"
"174","CT","Easton School District","0901410","Easton School District"
"175","CT","Ellington School District","0901440","Ellington School District"
"176","CT","Enfield School District","0901470","Enfield School District"
"177","CT","Essex School District","0901500","Essex School District"
"178","CT","Fairfield School District","0901530","Fairfield School District"
"179","CT","Farmington School District","0901560","Farmington School District"
"180","CT","Franklin School District","0901590","Franklin School District"
"181","CT","Glastonbury School District","0901620","Glastonbury School District"
"182","CT","Granby School District","0901680","Granby School District"
"183","CT","Greenwich School District","0901710","Greenwich School District"
"184","CT","Griswold School District","0901740","Griswold School District"
"185","CT","Groton School District","0901770","Groton School District"
"186","CT","Guilford School District","0901800","Guilford School District"
"187","CT","Hamden School District","0901860","Hamden School District"
"188","CT","Hampton School District","0901890","Hampton School District"
"189","CT","Hartford School District","0901920","Hartford School District"
"190","CT","Hartland School District","0901950","Hartland School District"
"191","CT","Hebron School District","0902010","Hebron School District"
"192","CT","Kent School District","0902040","Kent School District"
"193","CT","Killingly School District","0902070","Killingly School District"
"194","CT","Lebanon School District","0902130","Lebanon School District"
"195","CT","Ledyard School District","0902160","Ledyard School District"
"196","CT","Lisbon School District","0902190","Lisbon School District"
"197","CT","Litchfield School District","0902220","Litchfield School District"
"198","CT","Madison School District","0902280","Madison School District"
"199","CT","Manchester School District","0902310","Manchester School District"
"200","CT","Mansfield School District","0902340","Mansfield School District"
"201","CT","Marlborough School District","0902370","Marlborough School District"
"202","CT","Meriden School District","0902400","Meriden School District"
"203","CT","Middletown School District","0902490","Middletown School District"
"204","CT","Milford School District","0902520","Milford School District"
"205","CT","Monroe School District","0902550","Monroe School District"
"206","CT","Montville School District","0902580","Montville School District"
"207","CT","Naugatuck School District","0902640","Naugatuck School District"
"208","CT","New Britain School District","0902670","New Britain School District"
"209","CT","New Canaan School District","0902700","New Canaan School District"
"210","CT","New Fairfield School District","0902730","New Fairfield School District"
"211","CT","New Hartford School District","0902760","New Hartford School District"
"212","CT","New Haven School District","0902790","New Haven School District"
"213","CT","New London School District","0902820","New London School District"
"214","CT","New Milford School District","0902850","New Milford School District"
"215","CT","Newington School District","0902880","Newington School District"
"216","CT","Newtown School District","0902910","Newtown School District"
"217","CT","Norfolk School District","0902940","Norfolk School District"
"218","CT","North Branford School District","0902970","North Branford School District"
"219","CT","North Canaan School District","0903000","North Canaan School District"
"220","CT","North Haven School District","0903030","North Haven School District"
"221","CT","North Stonington School District","0903060","North Stonington School District"
"222","CT","Norwalk School District","0903090","Norwalk School District"
"223","CT","Norwich Free Academy District","0905371","Norwich Free Academy District"
"224","CT","Norwich School District","0903120","Norwich School District"
"225","CT","Old Saybrook School District","0903180","Old Saybrook School District"
"226","CT","Orange School District","0903210","Orange School District"
"227","CT","Oxford School District","0903240","Oxford School District"
"228","CT","Plainfield School District","0903270","Plainfield School District"
"229","CT","Plainville School District","0903300","Plainville School District"
"230","CT","Plymouth School District","0903330","Plymouth School District"
"231","CT","Pomfret School District","0903360","Pomfret School District"
"232","CT","Portland School District","0903390","Portland School District"
"233","CT","Preston School District","0903420","Preston School District"
"234","CT","Putnam School District","0903480","Putnam School District"
"235","CT","Redding School District","0903510","Redding School District"
"236","CT","Regional School District 18","0903540","Regional School District 18"
"237","CT","Regional School District No 9","0903780","Regional School District No 9"
"238","CT","Regional School District Number 7","0903720","Regional School District Number 7"
"239","CT","Ridgefield School District","0903810","Ridgefield School District"
"240","CT","Rocky Hill School District","0903840","Rocky Hill School District"
"241","CT","Salem School District","0903900","Salem School District"
"242","CT","Salisbury School District","0903930","Salisbury School District"
"243","CT","Scotland School District","0903960","Scotland School District"
"244","CT","Seymour School District","0903990","Seymour School District"
"245","CT","Sharon School District","0904020","Sharon School District"
"246","CT","Shelton School District","0904050","Shelton School District"
"247","CT","Sherman School District","0904080","Sherman School District"
"248","CT","Simsbury School District","0904110","Simsbury School District"
"249","CT","Somers School District","0904140","Somers School District"
"250","CT","South Windsor School District","0904170","South Windsor School District"
"251","CT","Southington School District","0904230","Southington School District"
"252","CT","Sprague School District","0904260","Sprague School District"
"253","CT","Stamford School District","0904320","Stamford School District"
"254","CT","Sterling School District","0904350","Sterling School District"
"255","CT","Stonington School District","0904380","Stonington School District"
"256","CT","Stratford School District","0904440","Stratford School District"
"257","CT","Suffield School District","0904470","Suffield School District"
"258","CT","The Gilbert School District","0905372","The Gilbert School District"
"259","CT","The Woodstock Academy District","0905373","The Woodstock Academy District"
"260","CT","Thomaston School District","0904500","Thomaston School District"
"261","CT","Thompson School District","0904530","Thompson School District"
"262","CT","Tolland School District","0904560","Tolland School District"
"263","CT","Torrington School District","0904590","Torrington School District"
"264","CT","Trumbull School District","0904620","Trumbull School District"
"265","CT","Union School District","0904650","Union School District"
"266","CT","Vernon School District","0904680","Vernon School District"
"267","CT","Voluntown School District","0904710","Voluntown School District"
"268","CT","Wallingford School District","0904740","Wallingford School District"
"269","CT","Waterbury School District","0904830","Waterbury School District"
"270","CT","Waterford School District","0904860","Waterford School District"
"271","CT","Watertown School District","0904890","Watertown School District"
"272","CT","West Hartford School District","0904920","West Hartford School District"
"273","CT","West Haven School District","0904950","West Haven School District"
"274","CT","Westbrook School District","0904980","Westbrook School District"
"275","CT","Weston School District","0905010","Weston School District"
"276","CT","Westport School District","0905040","Westport School District"
"277","CT","Wethersfield School District","0905070","Wethersfield School District"
"278","CT","Willington School District","0905100","Willington School District"
"279","CT","Wilton School District","0905130","Wilton School District"
"280","CT","Winchester School District","0905160","Winchester School District"
"281","CT","Windham School District","0905190","Windham School District"
"282","CT","Windsor Locks School District","0905250","Windsor Locks School District"
"283","CT","Windsor School District","0905220","Windsor School District"
"284","CT","Wolcott School District","0905280","Wolcott School District"
"285","CT","Woodbridge School District","0905310","Woodbridge School District"
"286","CT","Woodstock School District","0905370","Woodstock School District"
"287","DC","District of Columbia Public Schools","1100030","District of columbia public schools"
"288","GA","City of Buford Board of Education","1300600",NA
"289","GA","Department of Corrections","1300025","department of corrections"
"290","GA","Effingham County Board of Education","1301980","Effingham County Board Of Education"
"291","GA","Georgia Department of Juvenile Justice","1300026","department of juvenile justice"
"292","IA","Adair-Casey Community School District","1903090","adair-casey community school district"
"293","IA","Cardinal Community School District","1906240","Cardinal Community School District"
"294","IA","Garner-Hayfield-Ventura Community School District","1923160","Pleasantville Community School District"
"295","IA","Janesville Community School District","1915180","Janesville Community School District"
"296","IA","Martensdale-St. Mary'S Community School District","1918750","Martensdale-St. Marys Community School District"
"297","IA","Mfl Mar Mac Community School District","1918120","Mfl Mar Mac Community School District"
"298","IA","West Lyon Community School District","1931020","West Lyon Community School District"
"299","ID","Cottonwood Joint School District No. 242","1600810","cottonwood joint school district 242"
"300","ID","Firth School District 59","1601080","Firth School District 59"
"301","ID","Homedale Jt. School District No. 370","1601470",NA
"302","ID","Joint School District No. 171","1602520",NA
"303","ID","Valley School District 262","1603270","Valley School District 262"
"304","ID","West Jefferson School District 253","1603400","West Jefferson School District 253"
"305","IL","Abingdon-Avon Community Unit School District 276","1701413","abingdon - avon cusd 276"
"306","IL","Akin Community Consolidated School District 91","1703210","akin community consolidated school district 91"
"307","IL","Albers School District 63","1703270","albers school district 63"
"308","IL","Alden-Hebron Community Consolidated School District 19","1703300","alden-hebron community consolidated school district 19"
"309","IL","Allen-Otter Creek Community Consolidated School District 65","1703420","allen-otter creek community consolidated school district 65"
"310","IL","Allendale Community Consolidated School District 17","1703450","allendale community consolidated school district 17"
"311","IL","Altamont Community Unit School District 10","1703510","altamont community unit school district 10"
"312","IL","Alwood Community Unit School District 225","1703660","alwood community unit school district 225"
"313","IL","Amboy Community Unit School District 272","1703690","amboy community unit school district 272"
"314","IL","Anna Jonesboro Community School District 81","1703780","anna jonesboro community school district 81"
"315","IL","Annawan Community Unit School District 226","1703810","annawan community unit school district 226"
"316","IL","Arcola Community Unit School District 306","1703960","arcola community unit school district 306"
"317","IL","Argenta Community Unit School District 1","1703990","argenta community unit school district 1"
"318","IL","Armstrong Ellis C School District 61","1704200","armstrong ellis c school district 61"
"319","IL","Armstrong Township High School District 225","1704230","armstrong township high school district 225"
"320","IL","Ashley Community Consolidated School District 15","1704340","ashley community consolidated school district 15"
"321","IL","Ashton Community Unit School District 275","1704380","ashton community unit school district 275"
"322","IL","Astoria Community Unit School District 1","1704440","astoria community unit school district 1"
"323","IL","Athens Community Unit School District 213","1704470","athens community unit school district 213"
"324","IL","Atwood Heights School District 125","1704560","atwood heights school district 125"
"325","IL","Auburn Community Unit School District 10","1704620","auburn community unit school district 10"
"326","IL","Aviston School District 21","1704740","aviston school district 21"
"327","IL","Avoca School District 37","1704800","avoca school district 37"
"328","IL","Bannockburn School District 106","1704950","bannockburn school district 106"
"329","IL","Bartelso School District 57","1705160","bartelso school district 57"
"330","IL","Bartonville School District 66","1705190","bartonville school district 66"
"331","IL","Beecher City Community Unit School District 20","1705460","beecher city community unit school district 20"
"332","IL","Beecher Community School District 200 U","1705430","beecher community school district 200 u"
"333","IL","Belleville Area Special Education","1743963","belleville area special education"
"334","IL","Bement Community Unit School District 5","1705820","bement community unit school district 5"
"335","IL","Benjamin School District 25","1705880","benjamin school district 25"
"336","IL","Benton Consolidated High School District 103","1705970","benton consolidated high school district 103"
"337","IL","Bethel School District 82","1706180","bethel school district 82"
"338","IL","Bismarck Community Unit School District 1","1706390","bismarck community unit school district 1"
"339","IL","Bloomingdale School District 13","1706450","bloomingdale school district 13"
"340","IL","Blue Ridge School District 18","1700003","blue ridge school district 18"
"341","IL","Bluford Unit School District 318","1701417","bluford unit school district 318"
"342","IL","Boone/Winnebago Regional office of Education","1700166","boone/winnebago roe"
"343","IL","Braceville School District 75","1706840","braceville school district 75"
"344","IL","Bradford Community Unit School District 1","1706880","bradford community unit school district 1"
"345","IL","Breese Elementary School District 12","1707010","breese elementary school district 12"
"346","IL","Brimfield Community Unit School District 309","1707200","brimfield community unit school district 309"
"347","IL","Brooklyn School District 188","1723640","brooklyn school district 188"
"348","IL","Brown County Community Unit School District 1","1727300","brown county community unit school district 1"
"349","IL","Brownstown Community Unit School District 201","1707440","brownstown community unit school district 201"
"350","IL","Brussels Community Unit School District 42","1700102","brussels community unit school district 42"
"351","IL","Buncombe Consolidated School District 43","1707740","buncombe consolidated school district 43"
"352","IL","Bunker Hill Community Unit School District 8","1707770","bunker hill community unit school district 8"
"353","IL","Bureau Valley Community Unit School District 340","1700125","bureau valley community unit school district 340"
"354","IL","Burnham School District 154-5","1707860","burnham school district 154-5"
"355","IL","Bushnell Prairie City Community Unit School District 170","1707950","bushnell prairie city community unit school district 170"
"356","IL","Butler School District 53","1707980","butler school district 53"
"357","IL","Byron Community Unit School District 226","1708010","byron community unit school district 226"
"358","IL","Calhoun Community Unit School District 40","1718180","calhoun community unit school district 40"
"359","IL","Calhoun/Greene/Jersy/Macoupin Regional office of Education","1700169","calhoun/greene/jersy/macoupin roe"
"360","IL","Cambridge Community Unit School District 227","1708160","cambridge community unit school district 227"
"361","IL","Carbon Cliff-Barstow School District 36","1708310","carbon cliff-barstow school district 36"
"362","IL","Carlyle Community Unit School District 1","1708460","carlyle community unit school district 1"
"363","IL","Carrier Mls-Stonefort School District 2","1708580","carrier mls-stonefort school district 2"
"364","IL","Carroll/Jo Daviess/Stephenson Regional office of Education School District","1700170","carroll/jo daviess/stephenson roe"
"365","IL","Carrollton Community Unit School District 1","1708610","carrollton community unit school district 1"
"366","IL","Carthage Elementary School District 317","1701385","carthage elementary school district 317"
"367","IL","Casey Westfield Community Unit School District 4C","1700002","casey westfield community unit school district 4c"
"368","IL","Cass School District 63","1708790","cass school district 63"
"369","IL","Center Cass School District 66","1708970","center cass school district 66"
"370","IL","Central A & M Community Unit School District 21","1709100","central a & m community unit school district 21"
"371","IL","Central City School District 133","1709180","central city school district 133"
"372","IL","Central Community School District 71","1704770","central community school district 71"
"373","IL","Central Community Unit School District 4","1710410","central community unit school district 4"
"374","IL","Central School District 104","1709170","central school district 104"
"375","IL","Central School District 51","1709150","central school district 51"
"376","IL","Central Stickney School District 110","1737860","central stickney school district 110"
"377","IL","Century Community Unit School District 100","1739630","century community unit school district 100"
"378","IL","Cerro Gordo Community Unit School District 100","1709330","cerro gordo community unit school district 100"
"379","IL","Chadwick Community Unit School District 399","1709400","chadwick community unit school district 399"
"380","IL","Champaign-Ford Regional office of Education","1700171","champaign/ford roe"
"381","IL","Chaney-Monge School District 88","1709510","chaney-monge school district 88"
"382","IL","Channahon School District 17","1709540","channahon school district 17"
"383","IL","Charleston Community Unit School District 1","1709600","charleston community unit school district 1"
"384","IL","Chester E Lincoln Community Consolidated School District 61","1709850","chester e lincoln community consolidated school district 61"
"385","IL","Cissna Park Community Unit School District 6","1710290","cissna park community unit school district 6"
"386","IL","Clay City Community Unit School District 10","1710340","clay city community unit school district 10"
"387","IL","Clk/Cls/Cmbn/Dglas/Edgr/Mltr/Shlb School District","1700175","clk/cls/cmbn/dglas/edgr/mltr/shlb"
"388","IL","Cobden Unit School District 17","1710570","cobden unit school district 17"
"389","IL","Colona School District 190","1710690","colona school district 190"
"390","IL","Community Consolidated School District 180","1730510","community consolidated school district 180"
"391","IL","Community Consolidated School District 204","1731560","community consolidated school district 204"
"392","IL","Community Consolidated School District 93","1710470","community consolidated school district 93"
"393","IL","Cornell Community Consolidated School District 426","1710860","cornell community consolidated school district 426"
"394","IL","Coulterville School District 1","1710980","coulterville school district 1"
"395","IL","Cowden-Herrick Community Unit School District 3-A","1700176","cowden-herrick community unit school district 3-a"
"396","IL","Crab Orchard Community Unit School District 3","1711100","crab orchard community unit school district 3"
"397","IL","Crescent Iroquois Cusd 249","1700323","crescent iroquois cusd 249"
"398","IL","Creston Community Consolidated School District 161","1711220","creston community consolidated school district 161"
"399","IL","Creve Coeur School District 76","1711290","creve coeur school district 76"
"400","IL","Cumberland Community Unit School District 77","1739090","cumberland community unit school district 77"
"401","IL","Cypress School District 64","1711520","cypress school district 64"
"402","IL","Dakota Community Unit School District 201","1711610","dakota community unit school district 201"
"403","IL","Dallas City Elementary School District 327","1701388","dallas city elementary school district 327"
"404","IL","Dalzell School District 98","1711700","dalzell school district 98"
"405","IL","Damiansville School District 62","1711730","damiansville school district 62"
"406","IL","Deer Creek Mackinaw Community Unit School District 701","1711880","deer creek mackinaw community unit school district 701"
"407","IL","Deer Park Community Consolidated School District 82","1711910","deer park community consolidated school district 82"
"408","IL","Dekalb County Regional office of Education","1700178","de kalb roe"
"409","IL","Deland-Weldon Community Unit School District 57","1712030","deland-weldon community unit school district 57"
"410","IL","Delavan Community Unit School District 703","1712060","delavan community unit school district 703"
"411","IL","Depue Unit School District 103","1712090","depue unit school district 103"
"412","IL","Desoto Consolidated School District 86","1712150","desoto consolidated school district 86"
"413","IL","Dewitt, Livingston, Logan, And Mclean Counties Regional office of Education No. 17","1700177","dewitt livingston logan and mclean counties regional office of education no. 17"
"414","IL","Dieterich Community Unit School District 30","1712240","dieterich community unit school district 30"
"415","IL","Dimmick Community Consolidated Sd #175","1701434","dimmick community consolidated sd #175"
"416","IL","District 50 Schools","1741010","district 50 schools"
"417","IL","Dixon Unit School District 170","1712330","dixon unit school district 170"
"418","IL","Dolton School District 149","1712420","Dolton School District 149"
"419","IL","Dongola Unit School District 66","1712480","dongola unit school district 66"
"420","IL","Donovan Community Unit School District 3","1712510","donovan community unit school district 3"
"421","IL","Dupage Regional office of Education","1700179","dupage roe"
"422","IL","Durand Community Unit School District 322","1712810","durand community unit school district 322"
"423","IL","Dwight Common School District 232","1712840","dwight common school district 232"
"424","IL","Dwight Township High School District 230","1712870","dwight township high school district 230"
"425","IL","Earlville Community Unit School District 9","1712930","earlville community unit school district 9"
"426","IL","East Alton Wood River Community High School District 14","1712990","east alton wood river community high school district 14"
"427","IL","East Coloma - Nelson Cesd 20","1701411","east coloma - nelson cesd 20"
"428","IL","East Dubuque Unit School District 119","1713050","east dubuque unit school district 119"
"429","IL","East Prairie School District 73","1713260","east prairie school district 73"
"430","IL","Eastland Community Unit School District 308","1700007","eastland community unit school district 308"
"431","IL","Edgar County Community Unit School District 6","1713370","edgar county community unit school district 6"
"432","IL","Edinburg Community Unit School District 4","1713410","edinburg community unit school district 4"
"433","IL","Edwards County Community Unit School District 1","1713500","edwards county community unit school district 1"
"434","IL","Egyptian Community Unit School District 5","1713590","egyptian community unit school district 5"
"435","IL","Elmwood Community Unit School District 322","1714050","elmwood community unit school district 322"
"436","IL","Elverado Community Unit School District 196","1713860","elverado community unit school district 196"
