"","state.abb","state.name","id","year","name","category","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","unrestricted","ncesID","name_nces","enrollment_20","fte_20","revenue_nces_20","expenditure_nces_20","enrollment_21","fte_21","revenue_nces_21","expenditure_nces_21","county","city","zip","zip4","locale","latitude","longitude","congresstional_code","metro_code","enrollment_22","fte_22","url"
"11","CA","California","146048",2022,"corona-norco unified school district","School District",1202562776,103057486,345568234,0,90317797,0,1476931789,434512184,NA,706726600,829160242,NA,"0609850","corona-norco unified",52557,0,"695202000","710246000",51318,2062.96,"759981000","697555000","Riverside County","Norco",92860,"1903","12-City: Mid-size",33.922685,-117.561634,642,"1-Metropolitan Area",50889,2076.56,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/Corona-Norco%20Unified%20School%20District/CA%20Corona-Norco%20Unified%20School%20District%202022.pdf"
"12","CA","California","146048",2023,"corona-norco unified school district","School District",1354336027,117605151,512236800,0,85183141,0,1723379227,682095721,"6355220",785466193,1079123692,-329265043,"0609850","corona-norco unified",52557,0,"695202000","710246000",51318,2062.96,"759981000","697555000","Riverside County","Norco",92860,"1903","12-City: Mid-size",33.922685,-117.561634,642,"1-Metropolitan Area",50889,2076.56,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/Corona-Norco%20Unified%20School%20District/CA%20Corona-Norco%20Unified%20School%20District%202023.pdf"
"13","CA","California","146106",2020,"elk grove unified school district","School District",1218599815,0,749359000,0,11770913,0,1116520925,0,"16169700",887739046,841645710,0,"0612330","elk grove unified",63660,0,"838162000","860041000",63157,2722.23,"940531000","877050000","Sacramento County","Elk Grove",95624,"1801","21-Suburb: Large",38.41158,-121.373061,607,"1-Metropolitan Area",62229,2763.54,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/Elk%20Grove%20Unified%20School%20District/CA%20Elk%20Grove%20Unified%20School%20District%202020.pdf"
"14","CA","California","146106",2021,"elk grove unified school district","School District",1408269561,87653366,756867000,0,12171425,0,1404090619,0,"17306146",889013352,952310639,-538146464,"0612330","elk grove unified",63660,0,"838162000","860041000",63157,2722.23,"940531000","877050000","Sacramento County","Elk Grove",95624,"1801","21-Suburb: Large",38.41158,-121.373061,607,"1-Metropolitan Area",62229,2763.54,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/Elk%20Grove%20Unified%20School%20District/CA%20Elk%20Grove%20Unified%20School%20District%202021.pdf"
"15","CA","California","146106",2022,"elk grove unified school district","School District",1075350313,166151615,363655000,0,11624895,0,1561699862,669899052,"17183992",850822680,1018154039,-485432687,"0612330","elk grove unified",63660,0,"838162000","860041000",63157,2722.23,"940531000","877050000","Sacramento County","Elk Grove",95624,"1801","21-Suburb: Large",38.41158,-121.373061,607,"1-Metropolitan Area",62229,2763.54,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/Elk%20Grove%20Unified%20School%20District/CA%20Elk%20Grove%20Unified%20School%20District%202022.pdf"
"16","CA","California","146106",2023,"elk grove unified school district","School District",1413865741,155020819,629349000,NA,9778339,NA,1789944472,868644347,"19211145",1017281106,1217173035,-437172667,"0612330","elk grove unified",63660,0,"838162000","860041000",63157,2722.23,"940531000","877050000","Sacramento County","Elk Grove",95624,"1801","21-Suburb: Large",38.41158,-121.373061,607,"1-Metropolitan Area",62229,2763.54,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/Elk%20Grove%20Unified%20School%20District/CA%20Elk%20Grove%20Unified%20School%20District%202023.pdf"
"17","CA","California","146154",2020,"fresno unified school district","School District",3034261964,204081966,942203000,0,1019190619,0,1701692842,0,"4534280",1233813509,1166709424,0,"0614550","fresno unified",71265,0,"1163319000","1160647000",70088,2159.3,"1286872000","1219665000","Fresno County","Fresno",93721,"2287","11-City: Large",36.73666,-119.787071,616,"1-Metropolitan Area",69873,3548.96,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/Fresno%20Unified%20School%20District/CA%20Fresno%20Unified%20School%20District%202020.pdf"
"18","CA","California","146154",2021,"fresno unified school district","School District",3379492852,289829772,993525000,0,1050247712,0,2055791831,0,"5290111",1271463860,1280455084,-1996515402,"0614550","fresno unified",71265,0,"1163319000","1160647000",70088,2159.3,"1286872000","1219665000","Fresno County","Fresno",93721,"2287","11-City: Large",36.73666,-119.787071,616,"1-Metropolitan Area",69873,3548.96,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/Fresno%20Unified%20School%20District/CA%20Fresno%20Unified%20School%20District%202021.pdf"
"19","CA","California","146154",2022,"fresno unified school district","School District",2557865078,214854312,492432000,0,987304445,0,1920500019,827657672,"5065912",1324637810,1515772451,0,"0614550","fresno unified",71265,0,"1163319000","1160647000",70088,2159.3,"1286872000","1219665000","Fresno County","Fresno",93721,"2287","11-City: Large",36.73666,-119.787071,616,"1-Metropolitan Area",69873,3548.96,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/Fresno%20Unified%20School%20District/CA%20Fresno%20Unified%20School%20District%202022.pdf"
"20","CA","California","146154",2023,"fresno unified school district","School District",2739124511,313928897,862755000,NA,644006970,NA,2386386270,1287287092,"4025818",1432815481,1826604043,-1497068894,"0614550","fresno unified",71265,0,"1163319000","1160647000",70088,2159.3,"1286872000","1219665000","Fresno County","Fresno",93721,"2287","11-City: Large",36.73666,-119.787071,616,"1-Metropolitan Area",69873,3548.96,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/Fresno%20Unified%20School%20District/CA%20Fresno%20Unified%20School%20District%202023.pdf"
"21","CA","California","146325",2020,"long beach unified school district","School District",3148525800,182972369,922386344,0,425718817,0,2658431286,0,"13045260",1123576999,1136009100,0,"0622500","long beach unified",71712,0,"1173998000","1215628000",69413,2808.82,"1266461000","1163778000","Los Angeles County","Long Beach",90810,"1839","11-City: Large",33.82892,-118.213761,647,"1-Metropolitan Area",67292,2738.24,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/Long%20Beach%20Unified%20School%20District/CA%20Long%20Beach%20Unified%20School%20District%202020.pdf"
"22","CA","California","146325",2021,"long beach unified school district","School District",3149319980,190405122,962921099,0,451231966,0,2783200508,0,"13564143",1133568444,1268432361,0,"0622500","long beach unified",71712,0,"1173998000","1215628000",69413,2808.82,"1266461000","1163778000","Los Angeles County","Long Beach",90810,"1839","11-City: Large",33.82892,-118.213761,647,"1-Metropolitan Area",67292,2738.24,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/Long%20Beach%20Unified%20School%20District/CA%20Long%20Beach%20Unified%20School%20District%202021.pdf"
"23","CA","California","146325",2022,"long beach unified school district","School District",2597539043,224468544,480681147,0,401299005,0,2846203810,1072674036,"12945941",1114588767,1281497291,0,"0622500","long beach unified",71712,0,"1173998000","1215628000",69413,2808.82,"1266461000","1163778000","Los Angeles County","Long Beach",90810,"1839","11-City: Large",33.82892,-118.213761,647,"1-Metropolitan Area",67292,2738.24,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/Long%20Beach%20Unified%20School%20District/CA%20Long%20Beach%20Unified%20School%20District%202022.pdf"
"24","CA","California","146325",2023,"long beach unified school district","School District",3388229707,342277186,774745619,0,416814012,0,3607249196,1726152715,"14898629",1425144205,1759812037,-701449737,"0622500","long beach unified",71712,0,"1173998000","1215628000",69413,2808.82,"1266461000","1163778000","Los Angeles County","Long Beach",90810,"1839","11-City: Large",33.82892,-118.213761,647,"1-Metropolitan Area",67292,2738.24,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/Long%20Beach%20Unified%20School%20District/CA%20Long%20Beach%20Unified%20School%20District%202023.pdf"
"25","CA","California","146329",2020,"los angeles unified school district","School District",29653109000,1251049000,7446273000,0,8578152000,0,21980711000,0,"90595000",9320067000,9124800000,-16376450000,"0622710","los angeles unified",483234,0,"9721115000","9632193000",460633,21872.95,"11112479000","9900601000","Los Angeles County","Los Angeles",90017,"1466","11-City: Large",34.056169,-118.257348,634,"1-Metropolitan Area",435958,21893.94,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/Los%20Angeles%20Unified%20School%20District/CA%20Los%20Angeles%20Unified%20School%20District%202020.pdf"
"26","CA","California","146329",2021,"los angeles unified school district","School District",33141717000,1483315000,7935187000,0,11062961000,0,23595338000,0,"108286000",9827740000,10548699000,0,"0622710","los angeles unified",483234,0,"9721115000","9632193000",460633,21872.95,"11112479000","9900601000","Los Angeles County","Los Angeles",90017,"1466","11-City: Large",34.056169,-118.257348,634,"1-Metropolitan Area",435958,21893.94,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/Los%20Angeles%20Unified%20School%20District/CA%20Los%20Angeles%20Unified%20School%20District%202021.pdf"
"27","CA","California","146329",2022,"los angeles unified school district","School District",28683759000,1551385000,4311675000,0,10186225000,0,24373982000,8961303000,"86722000",10824582000,12425358000,0,"0622710","los angeles unified",483234,0,"9721115000","9632193000",460633,21872.95,"11112479000","9900601000","Los Angeles County","Los Angeles",90017,"1466","11-City: Large",34.056169,-118.257348,634,"1-Metropolitan Area",435958,21893.94,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/Los%20Angeles%20Unified%20School%20District/CA%20Los%20Angeles%20Unified%20School%20District%202022.pdf"
"28","CA","California","146329",2023,"los angeles unified school district","School District",29736808000,3095526000,6730407000,NA,8482271000,NA,27651441000,11875191000,"90932000",9829163000,13738035000,-13225793000,"0622710","los angeles unified",483234,0,"9721115000","9632193000",460633,21872.95,"11112479000","9900601000","Los Angeles County","Los Angeles",90017,"1466","11-City: Large",34.056169,-118.257348,634,"1-Metropolitan Area",435958,21893.94,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/Los%20Angeles%20Unified%20School%20District/CA%20Los%20Angeles%20Unified%20School%20District%202023.pdf"
"29","CA","California","146593",2020,"san diego unified school district","School District",6421488110,283424562,1449568000,0,135880213,0,5984680571,0,"38185704",1875674718,1987911916,-1765970592,"0634320","san diego unified",102270,0,"2101817000","2309589000",97968,4266.88,"2239718000","2247111000","San Diego County","San Diego",92103,"2682","11-City: Large",32.754564,-117.147475,653,"1-Metropolitan Area",95233,4289.35,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/San%20Diego%20Unified%20School%20District/CA%20San%20Diego%20Unified%20School%20District%202020.pdf"
"30","CA","California","146593",2021,"san diego unified school district","School District",7331466923,309132238,1546135000,0,143083016,0,6988651546,0,"39457864",1986798898,2113720564,0,"0634320","san diego unified",102270,0,"2101817000","2309589000",97968,4266.88,"2239718000","2247111000","San Diego County","San Diego",92103,"2682","11-City: Large",32.754564,-117.147475,653,"1-Metropolitan Area",95233,4289.35,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/San%20Diego%20Unified%20School%20District/CA%20San%20Diego%20Unified%20School%20District%202021.pdf"
"31","CA","California","146593",2022,"san diego unified school district","School District",6939382611,348394080,793205000,0,136132998,0,7680334133,2351335484,"39166475",1965428482,2348998159,-1750769338,"0634320","san diego unified",102270,0,"2101817000","2309589000",97968,4266.88,"2239718000","2247111000","San Diego County","San Diego",92103,"2682","11-City: Large",32.754564,-117.147475,653,"1-Metropolitan Area",95233,4289.35,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/San%20Diego%20Unified%20School%20District/CA%20San%20Diego%20Unified%20School%20District%202022.pdf"
"32","CA","California","146593",2023,"san diego unified school district","School District",7864708567,804905822,1300079000,0,119560397,0,8607532813,2862572246,"37802729",2217862782,2812907800,-1987058083,"0634320","san diego unified",102270,0,"2101817000","2309589000",97968,4266.88,"2239718000","2247111000","San Diego County","San Diego",92103,"2682","11-City: Large",32.754564,-117.147475,653,"1-Metropolitan Area",95233,4289.35,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/San%20Diego%20Unified%20School%20District/CA%20San%20Diego%20Unified%20School%20District%202023.pdf"
"33","CA","California","146595",2020,"san francisco unified school district","School District",2652780917,90091449,836406746,0,782068572,0,2122669061,0,"13646000",1306963214,1290210104,-1395173956,"0634410","san francisco unified",52811,0,"1171190000","1189503000",51790,2501.58,"1228255000","1161029000","San Francisco County","San Francisco",94102,"5207","11-City: Large",37.779253,-122.422153,612,"1-Metropolitan Area",49204,2547.13,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/San%20Francisco%20Unified%20School%20District/CA%20San%20Francisco%20Unified%20School%20District%202020.pdf"
"34","CA","California","146595",2021,"san francisco unified school district","School District",3258391470,86643394,942536683,0,1012295819,0,2571284111,0,"15063056",1300564922,1352568770,0,"0634410","san francisco unified",52811,0,"1171190000","1189503000",51790,2501.58,"1228255000","1161029000","San Francisco County","San Francisco",94102,"5207","11-City: Large",37.779253,-122.422153,612,"1-Metropolitan Area",49204,2547.13,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/San%20Francisco%20Unified%20School%20District/CA%20San%20Francisco%20Unified%20School%20District%202021.pdf"
"35","CA","California","146595",2022,"san francisco unified school district","School District",2775479417,170520457,285174129,0,1038791715,0,3094655414,1138312747,"21081425",1219446138,1528126847,0,"0634410","san francisco unified",52811,0,"1171190000","1189503000",51790,2501.58,"1228255000","1161029000","San Francisco County","San Francisco",94102,"5207","11-City: Large",37.779253,-122.422153,612,"1-Metropolitan Area",49204,2547.13,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/San%20Francisco%20Unified%20School%20District/CA%20San%20Francisco%20Unified%20School%20District%202022.pdf"
"36","CA","California","146595",2023,"san francisco unified school district","School District",2858927370,278578338,626287566,NA,898812305,NA,3167089347,1139193538,"13413053",1196241371,1475651908,-1149937644,"0634410","san francisco unified",52811,0,"1171190000","1189503000",51790,2501.58,"1228255000","1161029000","San Francisco County","San Francisco",94102,"5207","11-City: Large",37.779253,-122.422153,612,"1-Metropolitan Area",49204,2547.13,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/San%20Francisco%20Unified%20School%20District/CA%20San%20Francisco%20Unified%20School%20District%202023.pdf"
"37","CO","Colorado","32036",2020,"cherry creek school district no. 5","School District",1931718440,90398684,1074427362,0,52826631,0,1155917605,0,"48136892",569719633,770750774,-1646969181,"0802910","cherry creek school district no. 5 in the county of arapah",56228,3234.26,"782035000","782350000",54184,3367.93,"798786000","781829000","Arapahoe County","GREENWOOD VILLAGE",80111,"1394","11-City: Large",39.631056,-104.884328,806,"1-Metropolitan Area",53587,3194.09,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CO/Cherry%20Creek%20School%20District%20No.%205/CO%20Cherry%20Creek%20School%20District%20No.%205%202020.pdf"
"38","CO","Colorado","32036",2021,"cherry creek school district no. 5","School District",2192617732,70354704,1215421688,0,44195888,0,1306870241,0,"52843248",470199362,785167301,-1346863476,"0802910","cherry creek school district no. 5 in the county of arapah",56228,3234.26,"782035000","782350000",54184,3367.93,"798786000","781829000","Arapahoe County","GREENWOOD VILLAGE",80111,"1394","11-City: Large",39.631056,-104.884328,806,"1-Metropolitan Area",53587,3194.09,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CO/Cherry%20Creek%20School%20District%20No.%205/CO%20Cherry%20Creek%20School%20District%20No.%205%202021.pdf"
"39","CO","Colorado","32036",2022,"cherry creek school district no. 5","School District",1847264298,92707731,845137624,0,40888024,0,1384200573,478176864,"44679713",493566705,866999574,0,"0802910","cherry creek school district no. 5 in the county of arapah",56228,3234.26,"782035000","782350000",54184,3367.93,"798786000","781829000","Arapahoe County","GREENWOOD VILLAGE",80111,"1394","11-City: Large",39.631056,-104.884328,806,"1-Metropolitan Area",53587,3194.09,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CO/Cherry%20Creek%20School%20District%20No.%205/CO%20Cherry%20Creek%20School%20District%20No.%205%202022.pdf"
"40","CO","Colorado","32036",2023,"cherry creek school district no. 5","School District",2071914404,109295545,1128743329,NA,38468019,NA,1363969396,401411813,"47886666",861267240,906035925,-950206706,"0802910","cherry creek school district no. 5 in the county of arapah",56228,3234.26,"782035000","782350000",54184,3367.93,"798786000","781829000","Arapahoe County","GREENWOOD VILLAGE",80111,"1394","11-City: Large",39.631056,-104.884328,806,"1-Metropolitan Area",53587,3194.09,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CO/Cherry%20Creek%20School%20District%20No.%205/CO%20Cherry%20Creek%20School%20District%20No.%205%202023.pdf"
"41","CO","Colorado","1237862",2020,"city and county of denver school district no. 1","School District",3548501249,193615233,400400429,0,54122079,0,2454709948,0,"18795396",1413151847,1560645403,0,"0803360","school district no. 1 in the county of denver and state of c",92143,6149.47,"1588186000","1605362000",89081,6120.67,"1615429000","1593940000","Denver County","DENVER",80203,"2996","11-City: Large",39.74575,-104.985751,801,"1-Metropolitan Area",88911,6140.88,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CO/City%20and%20County%20of%20Denver%20School%20District%20No.%201/CO%20City%20and%20County%20of%20Denver%20School%20District%20No.%201%202020.pdf"
"42","CO","Colorado","1237862",2021,"city and county of denver school district no. 1","School District",3816120556,159407766,395426442,0,40625946,0,2824656042,0,"19740694",1485550979,1607637417,-1234450492,"0803360","school district no. 1 in the county of denver and state of c",92143,6149.47,"1588186000","1605362000",89081,6120.67,"1615429000","1593940000","Denver County","DENVER",80203,"2996","11-City: Large",39.74575,-104.985751,801,"1-Metropolitan Area",88911,6140.88,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CO/City%20and%20County%20of%20Denver%20School%20District%20No.%201/CO%20City%20and%20County%20of%20Denver%20School%20District%20No.%201%202021.pdf"
"43","CO","Colorado","1237862",2022,"city and county of denver school district no. 1","School District",3663304330,161782476,4035111,0,26552730,0,3150266611,1286401683,"18192456",1406365102,1692905784,-949863107,"0803360","school district no. 1 in the county of denver and state of c",92143,6149.47,"1588186000","1605362000",89081,6120.67,"1615429000","1593940000","Denver County","DENVER",80203,"2996","11-City: Large",39.74575,-104.985751,801,"1-Metropolitan Area",88911,6140.88,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CO/City%20and%20County%20of%20Denver%20School%20District%20No.%201/CO%20City%20and%20County%20of%20Denver%20School%20District%20No.%201%202022.pdf"
"44","CO","Colorado","1237862",2023,"city and county of denver school district no. 1","School District",3936361093,359916228,439145019,NA,7612542,NA,3108513598,1156697927,"19022971",1753971588,1913311473,-861749698,"0803360","school district no. 1 in the county of denver and state of c",92143,6149.47,"1588186000","1605362000",89081,6120.67,"1615429000","1593940000","Denver County","DENVER",80203,"2996","11-City: Large",39.74575,-104.985751,801,"1-Metropolitan Area",88911,6140.88,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CO/City%20and%20County%20of%20Denver%20School%20District%20No.%201/CO%20City%20and%20County%20of%20Denver%20School%20District%20No.%201%202023.pdf"
"45","CO","Colorado","32045",2020,"douglas county school district re. 1","School District",1545454919,82144302,864936787,0,42529387,0,1186675548,0,"5608455",619988621,809862038,-1266898849,"0803450","douglas county school district no. re 1",67305,3680.47,"855927000","854698000",62979,3664.71,"831121000","869311000","Douglas County","CASTLE ROCK",80108,NA,"21-Suburb: Large",39.375981,-104.859375,804,"1-Metropolitan Area",63596,3609.66,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CO/Douglas%20County%20School%20District%20RE.%201/CO%20Douglas%20County%20School%20District%20RE.%201%202020.pdf"
"46","CO","Colorado","32045",2021,"douglas county school district re. 1","School District",1547646681,44804655,936328834,0,34048351,0,1186188284,0,"31888950",477799993,786412795,0,"0803450","douglas county school district no. re 1",67305,3680.47,"855927000","854698000",62979,3664.71,"831121000","869311000","Douglas County","CASTLE ROCK",80108,NA,"21-Suburb: Large",39.375981,-104.859375,804,"1-Metropolitan Area",63596,3609.66,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CO/Douglas%20County%20School%20District%20RE.%201/CO%20Douglas%20County%20School%20District%20RE.%201%202021.pdf"
"47","CO","Colorado","32045",2022,"douglas county school district re. 1","School District",1179974812,80110367,636750686,0,30807156,0,1173435856,369437141,"5197881",554339436,867335496,0,"0803450","douglas county school district no. re 1",67305,3680.47,"855927000","854698000",62979,3664.71,"831121000","869311000","Douglas County","CASTLE ROCK",80108,NA,"21-Suburb: Large",39.375981,-104.859375,804,"1-Metropolitan Area",63596,3609.66,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CO/Douglas%20County%20School%20District%20RE.%201/CO%20Douglas%20County%20School%20District%20RE.%201%202022.pdf"
"48","CO","Colorado","32045",2023,"douglas county school district re. 1","School District",1337757396,111109504,846043961,NA,28818691,NA,1167362518,346352618,"5427601",849707955,910403608,-672425895,"0803450","douglas county school district no. re 1",67305,3680.47,"855927000","854698000",62979,3664.71,"831121000","869311000","Douglas County","CASTLE ROCK",80108,NA,"21-Suburb: Large",39.375981,-104.859375,804,"1-Metropolitan Area",63596,3609.66,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CO/Douglas%20County%20School%20District%20RE.%201/CO%20Douglas%20County%20School%20District%20RE.%201%202023.pdf"
