id,state.abb,name,year,total_assets,
107065,TN,Knox County Schools,2021,"1,069,967,426",
38905,TX,Lewisville Independent School District,2020,"2,027,836,981",
38905,TX,Lewisville Independent School District,2021,"1,968,237,681",
146325,CA,Long Beach Unified School District,2020,"2,658,431,286",
146325,CA,Long Beach Unified School District,2021,"2,783,200,508",
146329,CA,Los Angeles Unified School District,2020,"21,980,711,000",
146329,CA,Los Angeles Unified School District,2021,"23,595,338,000",
1250804,VA,Loudoun County Public Schools,2020,"2,446,157,187",
1250804,VA,Loudoun County Public Schools,2021,"2,608,203,430",
148130,FL,Manatee County District School Board,2020,"1,196,146,727",
148130,FL,Manatee County District School Board,2021,"1,240,715,461",
30554,AZ,Mesa Unified School District No.4,2020,"948,737,617",
30554,AZ,Mesa Unified School District No.4,2021,"1,011,255,254",
107203,TN,Metropolitan Nashville Public Schools,2020,,using internal school funds?
107203,TN,Metropolitan Nashville Public Schools,2021,,
40012,WI,Milwaukee Public Schools,2020,"945,350,000",
40012,WI,Milwaukee Public Schools,2021,"1,102,847,000",
1017229,AL,Mobile County Board of School Commissioners,2020,"810,156,898",
1017229,AL,Mobile County Board of School Commissioners,2021,"873,363,316",
33968,MD,Montgomery County Public Schools,2020,"3,671,879,459",
33968,MD,Montgomery County Public Schools,2021,"3,738,822,073",
38819,TX,North East Independent School District,2020,"1,972,781,572",
38819,TX,North East Independent School District,2021,"1,938,563,629",decrease
38820,TX,Northside Independent School District,2020,"2,963,173,954",
38820,TX,Northside Independent School District,2021,"3,222,278,252",
35480,NE,Omaha City School District 1,2020,"1,395,333,000",
35480,NE,Omaha City School District 1,2021,"1,542,182,000",
102323,FL,Orange County District School Board,2020,"6,833,017,932",
102323,FL,Orange County District School Board,2021,"7,209,306,551",
198253,FL,Osceola County District School Board,2020,"1,311,442,682",
198253,FL,Osceola County District School Board,2021,"1,516,640,595",
38993,TX,Pasadena Independent School District,2020,"1,397,318,316",
38993,TX,Pasadena Independent School District,2021,"1,413,907,851",
148148,FL,Pasco County District School Board,2020,"1,680,238,811",
148148,FL,Pasco County District School Board,2021,"1,715,536,744",
38877,TX,Plano Independent School District,2020,"1,850,980,859",
38877,TX,Plano Independent School District,2021,"1,816,905,360",decrease
196828,MD,Prince George’S County Public Schools,2020,"1,976,533,458",
196828,MD,Prince George’S County Public Schools,2021,"2,137,400,286",
1250808,VA,Prince William County Public Schools,2020,"2,208,797,405",
1250808,VA,Prince William County Public Schools,2021,"2,445,510,537",
39253,TX,Round Rock Independent School District,2020,"1,684,889,588",
39253,TX,Round Rock Independent School District,2021,"1,590,469,833",decrease
146593,CA,San Diego Unified School District,2020,"5,984,680,571",
146593,CA,San Diego Unified School District,2021,"6,988,651,546",
146595,CA,San Francisco Unified School District,2020,"2,122,669,061",
146595,CA,San Francisco Unified School District,2021,"2,571,284,111",
1265776,VA,School Board of The City of Virginia Beach,2020,"825,304,983",
1265776,VA,School Board of The City of Virginia Beach,2021,"899,445,665",
70961,GA,School District Atlanta Public Schools,2020,"1,762,576,220",
70961,GA,School District Atlanta Public Schools,2021,"1,867,953,235",
87525,PA,School District of Philadelphia,2020,"3,353,252,480",
87525,PA,School District of Philadelphia,2021,"3,424,689,405",
98989,FL,School District of Polk County,2020,"1,655,425,541",
98989,FL,School District of Polk County,2021,"1,719,541,306",
39643,WA,Seattle School District No.1,2020,"618,225,207",
39643,WA,Seattle School District No.1,2021,"817,178,848",
32425,FL,Seminole County Public Schools,2020,"1,044,792,429",
32425,FL,Seminole County Public Schools,2021,"1,091,193,393",
196483,FL,St. Johns County School District,2020,"1,110,021,064",
196483,FL,St. Johns County School District,2021,"1,242,759,396",
68696,FL,The School Board of Broward County,2021,"4,420,987,000",
69706,FL,The School Board of Miami-Dade County,2020,"5,663,054,000",
69706,FL,The School Board of Miami-Dade County,2021,"5,860,029,000",
38341,SC,The School District of Greenville County,2020,"1,696,182,521",
38341,SC,The School District of Greenville County,2021,"1,780,789,326",
32396,FL,The School District of Hillsborough County,2020,"2,877,535,861",
32396,FL,The School District of Hillsborough County,2021,"3,053,351,000",
32402,FL,The School District of Lee County,2020,"1,962,717,291",
32402,FL,The School District of Lee County,2021,"2,045,697,039",
93789,FL,The School District of Palm Beach County,2020,"4,514,995,000",
93789,FL,The School District of Palm Beach County,2021,"4,754,496,000",
70626,FL,Volusia County District School Board,2020,"1,416,147,346",
70626,FL,Volusia County District School Board,2021,"1,542,468,125",
36675,NC,Wake County Board of Education,2020,"3,964,607,742",
36675,NC,Wake County Board of Education,2021,"4,190,473,653",
35535,NV,Washoe County School District,2020,"1,704,169,634",
35535,NV,Washoe County School District,2021,"1,880,545,241",
196971,NC,Winston-Salem/Forsyth County Schools-Board of Education,2020,"738,393,012",
196971,NC,Winston-Salem/Forsyth County Schools-Board of Education,2021,"782,095,442",
