state.abb,id,name,name_nces,ncesID
OK,1239253,walters school district no. i-001,walters,4031470
OK,1239269,muldrow school district no. i-3,muldrow,4020880
OK,1239237,olive independent school district no. 17,olive,4022860
OK,1239251,skiatook independent school district no. 7,skiatook,4027750
OK,1239823,healdton school district no. i-055,healdton,4014130
OK,227917,quinton school district no. i-017,quinton,4025410
OK,1239826,paoli school district no. i-005,paoli,4023430
OK,225980,hulbert school district no. i-16,hulbert,4015240
OK,1268539,justice school district no. c-54,justice,4015900
OK,227875,moss school district no. i-001,moss,4020460
OK,398896,glover school district no. c-023,glover,4012750
OK,1269190,luther school district no. i-3,luther,4018630
OK,1239238,owasso school district no. 1-11,owasso,4023280
OK,1240819,tupelo school district no. i-002,tupelo,4030270
OK,198307,putnam city independent school district no. 1,putnam city,4025290
OK,225973,fairview school district no. i-84,fairview,4011280
OK,1240315,duncan school district no. i-1,duncan,4010290
OK,1240851,varnum independent school district no. 7,varnum,4030990
OK,1240808,seiling independent school district no. 8,seiling,4027240
OK,1239233,okemah independent school district no. 26,okemah,4006850
OK,1239209,barnsdall independent school district no. 29,barnsdall,4003570
OK,147616,stidham school district no. c-016,stidham,4028620
OK,146923,calumet independent school district no. 76,calumet,4006240
OK,1240818,tipton independent school district no. 8,tipton,4030030
OK,1240314,allen school district no. i-1,allen,4002760
OK,1240794,new lima independent school district no. 6,new lima,4021360
OK,1240744,gans independent school district no. 4,gans,4012390
OK,1240316,geronimo independent school district no. 1-4,geronimo,4012630
OK,1240317,noble school district no. i-40,noble,4021630
OK,1240318,brushy school district no. c-36,brushy,4005580
OK,1240319,canute independent school district no. 11,canute,4006510
OK,1240709,antlers school district no. i-13,antlers,4003060
OK,1240735,empire independent school district no. i-21,empire,4010890
OK,1240772,ketchum school district no. i-006,ketchum,4016380
OK,1240788,morris school district no. i-3,morris,4020310
OK,1240791,muskogee school district no. i-20,muskogee,4020970
OK,1240798,okeene independent school district no. i-9,okeene,4022650
OK,1240804,red oak school district no. i-2,red oak,4025590
OK,1240810,shady grove school district no. c026,grove,4013530
OK,1240812,springer school district no. i-021,springer,4028350
OK,1240813,stuart school district no. i-054,stuart,4029100
OK,1240823,tenkiller school district no. c066,tenkiller,4029670
OK,1240827,vian school district no. i-2,vian,4031140
OK,1240852,weleetka school district no. i-31,weleetka,4032220
OK,1240715,cheyenne independent school district no. 7,cheyenne,4007500
OK,398902,hanna school district no. i-64,hanna,4013680
OK,190756,chandler school district no. i-1,chandler,4007290
OK,147716,wapanucka school district no. 1-037,wapanucka,4031590
OK,227763,broken arrow schools district no. i-003,broken arrow,4005490
OK,166752,kansas school district no. i-3,kansas,4015990
OK,190769,catoosa school district no. 2,catoosa,4006870
OK,1240853,whitesboro school district no. i-62,whitesboro,4032730
OK,1240786,moffett school district no. c-68,moffett,4020160
OK,147082,fanshawe school district no. c-039,fanshawe,4011400
OK,147060,drumright school district no. i-39,drumright,4010200
OK,147343,moyers school district i-22,moyers,4020640
OK,1239218,dale independent school district no. i-2,dale,4009390
OK,147630,sweetwater independent school district no. 15,sweetwater,4029310
OK,147483,peavine school district no. c-019,peavine,4010560
OK,147679,turkey ford school district no. c-10,turkey ford,4030290
OK,198291,anadarko school district no. i-20,anadarko,4003000
OK,1239208,achille school district no. i-3,achille,4002370
OK,400179,kipp okc public school district no. e-012,lakeside school,4000063
OR,1239289,falls city school district,falls city sd 57,4100003
OR,86413,morrow county school district,morrow sd 1,4108520
,,,,
,,,,
,,,,
PA,87494,school district of borough of brentwood,brentwood borough sd,4204140
PA,1266069,school district of pittsburgh,pittsburgh sd,4219170
,,,,
,,,,
SC,1268144,bamberg county school district,bamberg 03,4503916
,,,,
,,,,
,,,,
TX,56656,mount vernon independent school district,mount vernon isd,4831770
TX,88168,flour bluff independent school district,flour bluff isd,4819380
TX,1239481,clarendon independent school district,clarendon isd,4814160
TX,49576,bushland independent school district,bushland isd,4835570
TX,1239513,kirbyville consolidated independent school district,kirbyville cisd,4825710
,,,,
,,,,
UT,1239850,piute county school district,piute district,4900780
WI,48416,school district of grantsburg,grantsburg school district,5505670
WI,45097,school district of mayville,mayville school district,5508880
WV,39801,morgan county board of education,barbour county board of education,5400030
